['additions'],['closedAt'],['createdAt'],['deletions'],['merged'],['mergedAt'],['paticipants'],['publishedAt'],['title']
0,2015-6/4,2015-6/4,0,False,,1,2015-6/4,#1383 - BroadleafCommerce/BroadleafCommerce#1383 - modified updated a…
4,2015-6/4,2015-6/4,2,True,2015-6/4,2,2015-6/4,#1386 - modified TranslatedEntity to include Site and modified SiteImpl to return a translated field
59,2015-6/5,2015-6/5,0,True,2015-6/5,2,2015-6/5,Handler to remove the asset from Disk
6,2015-6/5,2015-6/5,2,True,2015-6/5,2,2015-6/5,#1389 - updated robots.txt controller to include setting the site instance
29,2015-6/5,2015-6/5,10,True,2015-6/5,3,2015-6/5,#1383 - updated BroadleafUpdateAccountController to create a new user/pass token
121,2015-6/5,2015-6/5,4,True,2015-6/5,2,2015-6/5,#1400 - Basic start/end date validation logic needs to be added to admin
15,2015-6/9,2015-6/9,2,True,2015-6/9,3,2015-6/9,Add compatibility with SolrCloud Replication
5,2015-6/11,2015-6/11,3,False,,2,2015-6/11,#1408 - updated the content of the IllegalStateException
69,2015-7/11,2015-6/11,11,True,2015-7/11,4,2015-6/11,Allow for the primary media for a sku to be removed
1,2015-6/11,2015-6/11,1,True,2015-6/11,3,2015-6/11,#1411 - `@AdminPresentation` the field name in 3.0.xsd needs to match…
2,2015-6/12,2015-6/12,0,True,2015-6/12,3,2015-6/12,IsoCountryWrapper needs to be registered bean
114,2015-6/12,2015-6/12,85,False,,3,2015-6/12,Qa 656 collisions
18,2015-6/12,2015-6/12,10,True,2015-6/12,2,2015-6/12,Qa 653 solr indexoutofbounds
90,2015-6/15,2015-6/15,2,False,,3,2015-6/15,Boolean system property should be represented as a radio button in the admin.
19,2015-6/16,2015-6/16,15,True,2015-6/16,2,2015-6/16,Remove any credit card payment type restrictions on populating billing/shipping/customer information from the order onto a PaymentRequestDTO
94,2015-6/16,2015-6/16,0,True,2015-6/16,1,2015-6/16,Add a helper service that converts the current user cart into a PaymentRequest
1,2015-6/17,2015-6/17,8,False,,3,2015-6/17,#1427 - updated BasicFieldPersistenceProvider to treat null as false when populating values
181,2015-6/17,2015-6/17,146,True,2015-6/17,2,2015-6/17,issue 660 - exposing prices as price from default SKU
10,2015-6/18,2015-6/18,60,True,2015-6/18,2,2015-6/18,qa 649 asset versioning
2,2015-6/19,2015-6/19,2,True,2015-6/19,2,2015-6/19,#1435 - updated readonly.html to properly check media urls for empty strings before loading media
18,2015-6/22,2015-6/22,4,True,2015-6/22,2,2015-6/22,Limit the url to one successUrl parameter on a failed login attempt
80,2015-6/22,2015-6/22,26,False,,3,2015-6/22,"Fixed ""View Approver Sandbox"" user so that they can view approvals"
114,2015-6/22,2015-6/22,85,False,,3,2015-6/22,Admin configuration settings spill over similarly named properties
31,2015-8/23,2015-6/23,6,False,,4,2015-6/23,#1444 - updated SandBoxDaoImpl to fix bug in retrieveAllSandBoxes method
23,2015-6/23,2015-6/23,0,True,2015-6/23,2,2015-6/23,Updated dirty form fields immediately after submission 
2,2015-6/23,2015-6/23,2,True,2015-6/23,2,2015-6/23,Bundles can return a 404 in BLC multi-tenant setup
7,2015-6/23,2015-6/23,3,True,2015-6/23,2,2015-6/23,Populate totals and line items only for PaymentType.UNCONFIRMED
14,2015-6/24,2015-6/24,15,True,2015-6/24,2,2015-6/24,Issues when serving static assets can occur because the system is unable to delete the temporary directory
59,2015-6/24,2015-6/24,10,True,2015-6/24,3,2015-6/24,Qa 685 admin entity not found
163,2015-7/24,2015-6/24,54,False,,2,2015-6/24,Add pricelist name to to admin's Search Facet Range
306,2015-6/26,2015-6/26,306,True,2015-6/26,2,2015-6/26,FulfillmentGroupItemImpl.getHasProratedOrderAdjustments() now returns correct value
546,2015-7/26,2015-6/26,195,True,2015-7/26,2,2015-6/26,prevent unwanted translation permutations
2,2015-6/28,2015-6/28,5,True,2015-6/28,3,2015-6/28,#1472 remove 6th value from test
6,2015-7/29,2015-6/29,0,True,2015-7/29,3,2015-6/29,Site Map Generator Configurations set up to work with Multi-Tenant
27,2015-6/30,2015-6/30,0,True,2015-6/30,3,2015-6/30,Introduce hooks into the SOLR index process to allow modules to optimize performance
5,2015-6/30,2015-6/30,3,True,2015-6/30,1,2015-6/30,#1408 Reference Spring Instrument as a potential startup exception fix
16,2015-6/30,2015-6/30,4,True,2015-6/30,2,2015-6/30,Fixes BroadleafCommerce/QA#691
45,2015-6/30,2015-6/30,31,False,,4,2015-6/30,nullable property on primaryPhone
48,2015-7/1,2015-7/1,85,True,2015-7/1,2,2015-7/1,Fixes 1483 - Ensure that fullName is populated on the address from a paymentrequest
7,2015-7/1,2015-7/1,2,True,2015-7/1,2,2015-7/1,1485 - Ensure that startIndex and maxIndex are not sent as FilterAndSortCriteria during admin pagination
4,2015-7/2,2015-7/2,4,True,2015-7/2,2,2015-7/2,Fix to allow parent category search facets to be used by children categories.
5,2015-7/2,2015-7/2,0,True,2015-7/2,1,2015-7/2,Allow main entity list view search to work with an inline list grid.
33,2015-7/2,2015-7/2,2,True,2015-7/2,1,2015-7/2,"When removing a resource, also delete any locale cached versions of the file"
3,2015-7/2,2015-7/2,1,True,2015-7/2,1,2015-7/2,Always cleanup any SystemTime thread local values at the end of the request lifecycle
405,2015-7/2,2015-7/2,205,False,,1,2015-7/2,"additions to SearchFacetGrid fields, and ""order"" member to Filter&Sort and FilterMappings "
405,2015-7/3,2015-7/3,205,False,,3,2015-7/3,"additions to SearchFacetGrid fields, and ""order"" member to Filter&Sort and FilterMappings"
26,2015-7/6,2015-7/6,22,False,,1,2015-7/6,Make the catalog name translatable
26,2015-7/6,2015-7/6,22,True,2015-7/6,2,2015-7/6,Make the catalog name translatable
48,2015-7/7,2015-7/7,19,False,,3,2015-7/7,"Added ""has details"" concept to ListGridRecordIcon to denote icons with a more detailed message"
420,2015-7/7,2015-7/7,230,True,2015-7/7,3,2015-7/7,Better handling of order field in FilterMapping
17,2015-8/7,2015-7/7,2,False,,2,2015-7/7,"Added ""has details"" concept to ListGridRecordIcon to denote icons with a more detailed message"
2,2015-7/10,2015-7/10,1,True,2015-7/10,3,2015-7/10,Make the `requiredFlag` field visible by default in admin application.
209,2015-7/10,2015-7/10,34,True,2015-7/10,4,2015-7/10,Overlapping metadata overrides by entity now allowed
105,2015-7/13,2015-7/13,47,True,2015-7/13,2,2015-7/13,Qa 717 widget master data
43,2015-7/14,2015-7/14,6,True,2015-7/14,3,2015-7/14,Framework changes to allow dynamic search facets
37,2015-7/15,2015-7/15,13,True,2015-7/15,2,2015-7/15,Add extension functionality to modify the URL paths for a StaticAsset
55,2015-7/17,2015-7/17,21,True,2015-7/17,2,2015-7/17,Provide mechanism to skip validation for MVEL strings in FieldData
32,2015-7/17,2015-7/17,3,False,,2,2015-7/17,Add ability to remove the primary media from a Product.
2,2015-7/17,2015-7/17,2,True,2015-7/17,2,2015-7/17,"If an exception was thrown in a workflow rollback handler, it is not possible to see what the exception was"
8,2015-7/20,2015-7/20,3,False,,2,2015-7/20,BroadleafCommerce/QA#763 - Added a link to demosite from admin login form
191,2015-7/20,2015-7/20,5,False,,1,2015-7/20,multitenant site defaults
72,2015-7/20,2015-7/20,2,False,,4,2015-7/20,Use the `StaticAssetPathService` to properly resolve images
5,2015-7/21,2015-7/21,1,True,2015-7/21,2,2015-7/21,Reworked the check for masterFieldGroup method
87,2015-7/21,2015-7/21,0,True,2015-7/21,2,2015-7/21,Creates a DirectCopyTransformer version that conditionally executes based on a Spring property
89,2015-7/22,2015-7/22,0,True,2015-7/22,3,2015-7/22,QA#764 - Add property to not return the default value for a translated field if that value is not in the same language.
0,2015-8/22,2015-7/22,3,False,,2,2015-7/22,Removed unused property in BroadleafAdminLdapUserDetailsMapper
20,2015-7/23,2015-7/23,1,True,2015-7/23,2,2015-7/23,Include placeholder template to add a link from the admin login page
14,2015-7/23,2015-7/23,7,False,,3,2015-7/23,Prevent loss of modal form data by way of errant clicks 
3,2015-7/23,2015-7/23,0,True,2015-7/23,1,2015-7/23,"UpdateExecutor can create a parameterized query with an IN clause that has no params, causing a SQLException"
8,2015-7/24,2015-7/24,1,True,2015-7/24,2,2015-7/24,Check for a changed BigDecimal value fails due to handling of numerical scale
191,2015-7/27,2015-7/27,5,False,,1,2015-7/27,use of a new extension manager for site defaults.
5,2020-1/3,2015-8/3,4,False,,4,2015-8/3,Failed to Lookup another Page Template in page
68,2020-1/3,2015-8/3,0,False,,4,2015-8/3,Missing parent's pages from ajax dynamicform call 
1,2015-9/10,2015-9/10,0,True,2015-9/10,2,2015-9/10,Persist the invalidation of Order Payment
29,2015-9/25,2015-9/25,24,True,2015-9/25,2,2015-9/25,Fix ability to edit Product Options
0,2015-11/1,2015-11/1,0,False,,2,2015-11/1,Merge pull request #1 from BroadleafCommerce/master
0,2017-7/29,2015-11/29,0,False,,2,2015-11/29,Merge pull request #1 from BroadleafCommerce/BroadleafCommerce-4.0.x
19,2015-12/25,2015-12/25,13,False,,4,2015-12/25,Broadleaf commerce 4.1.x
19,2017-7/28,2016-1/28,5,False,,4,2016-1/28,Broadleaf commerce 2.0.x
24,2017-7/11,2016-2/11,16,False,,6,2016-2/11,Broadleaf commerce 3.1.x
22,2016-5/4,2016-3/4,0,False,,2,2016-3/4,Added reply-to support in email
2,2016-3/7,2016-3/7,2,False,,3,2016-3/7,Upgrade Apache Commons Collections to v3.2.2
3,2016-9/20,2016-9/20,3,True,2016-9/20,3,2016-9/20,Mark.du patch 1 
