['closedAt'],['createdAt'],['merged'],['mergedAt'],['publishedAt'],['title']
2016-2,2016-2,True,2016-2,2016-2,Focus tracking with 2 markdown previews is broken (fixes #2489)
2016-3,2016-2,False,,2016-2,Regexp character class closing bracket should't be part of his beginning match
2016-2,2016-2,True,2016-2,2016-2,Fix #2687: Stop capturing 'REM' as a keyword.command in Batch
2016-2,2016-2,False,,2016-2,debugProtocol update: Add types for function breakpoints
2016-2,2016-2,False,,2016-2,Fixed a bug where action-items in git-viewlet changes-view was vertic…
2016-3,2016-2,True,2016-3,2016-2,Adds sort lines (ascending and descending) command
2016-6,2016-2,False,,2016-2,Fixes Markdown header highlighting rule
2016-2,2016-2,True,2016-2,2016-2,Add support for jsonSchema integer type in Intellisense
2016-2,2016-2,False,,2016-2,Match longer JavaScript operators first to support ligatures.
2016-2,2016-2,True,2016-2,2016-2,Fixed typo in json parser
2016-11,2016-2,False,,2016-2,Hide frontmatter in Markdown Preview
2016-2,2016-2,True,2016-2,2016-2,fix TextEditorOptions declaration - fixes #2797
2016-2,2016-2,True,2016-2,2016-2,Add gulp tasks to build deb packages
2016-2,2016-2,False,,2016-2,Add Vagrantfile as a ruby language file extension
2016-2,2016-2,True,2016-2,2016-2,Add indent based code folding
2016-2,2016-2,False,,2016-2,Make OSS product long name actually long
2016-2,2016-2,True,2016-2,2016-2,refactor AIAdatper out of ai telemetry appender
2016-2,2016-2,True,2016-2,2016-2,Adding optout option for telemetry
2016-2,2016-2,True,2016-2,2016-2,Fixed small bug related to issue #2662.
2016-2,2016-2,False,,2016-2,Extension tips
2016-2,2016-2,True,2016-2,2016-2,Add Error List
2016-2,2016-2,True,2016-2,2016-2,debug: telemetry key contributed by debug adapters
2016-2,2016-2,False,,2016-2,some mistake in writing in folding.ts
2016-2,2016-2,False,,2016-2,Merge remote-tracking branch 'refs/remotes/Microsoft/master'
2016-2,2016-2,True,2016-2,2016-2,"Forward arguments in the shell script correctly: use ""$@"" instead of $*"
2016-2,2016-2,False,,2016-2,Fix code folding keyboard mix up
2016-2,2016-2,True,2016-2,2016-2,vscode.d.ts: workspace.rootPath is read-only
2016-2,2016-2,True,2016-2,2016-2,Added tslint to the hygiene pre-commit check
2016-2,2016-2,True,2016-2,2016-2,add support for restarting debug session
2016-2,2016-2,True,2016-2,2016-2,Change accelerator key for menu item: User Snippets from 'U' to 'S'
2016-2,2016-2,True,2016-2,2016-2,"Add ""launch""-type config to launch.json"
2016-2,2016-2,True,2016-2,2016-2,Fix opening code via command line using relative paths
2016-2,2016-2,False,,2016-2,"New extension tips for php, ts, py, cc, rs"
2016-2,2016-2,True,2016-2,2016-2,Enabling high contrast dark theme on all platforms + hc-dark improvements
2016-2,2016-2,True,2016-2,2016-2,Updated Swift Autocompletion Syntax
2016-2,2016-2,False,,2016-2,Update Rust Syntax to Fix Ligatures
2016-5,2016-2,False,,2016-2,File and folder icon theme feature
2016-2,2016-2,False,,2016-2,Merge pull request #1 from Microsoft/master
2016-2,2016-2,False,,2016-2,Merge pull request #1 from Microsoft/master
2016-2,2016-2,True,2016-2,2016-2,Adds the new icons to code folding
2016-2,2016-2,False,,2016-2,vscode
2016-4,2016-2,True,2016-4,2016-2,Adds custom terminal launch settings
2016-2,2016-2,True,2016-2,2016-2,Register the apt repository as a source for official .deb builds
2016-2,2016-2,True,2016-2,2016-2,Add text-decoration: none to intellisense
2016-2,2016-2,True,2016-2,2016-2,Highlight CSS property values in Dark+
2016-2,2016-2,True,2016-2,2016-2,Associate .xhtml with HTML language mode
2016-6,2016-2,True,2016-6,2016-2,Fix css transition of folding icons
2016-3,2016-3,True,2016-3,2016-3,Simplify test script definition in package.json
2016-3,2016-3,True,2016-3,2016-3,Use local version of gulp in build steps
2016-3,2016-3,True,2016-3,2016-3,Added telemetry for debugging scenarios
2016-3,2016-3,True,2016-3,2016-3,Use local version of gulp in ./scripts/code.sh
2016-3,2016-3,True,2016-3,2016-3,Ionic HTML Intellisense
2016-3,2016-3,True,2016-3,2016-3,"Allow file name to language associations via settings (fixes #3612, #2883)"
2016-3,2016-3,False,,2016-3,vscode gitignore updated. Added typings directory.
2016-3,2016-3,True,2016-3,2016-3,[go syntax] Don't treat multiline `var` specially
2016-3,2016-3,True,2016-3,2016-3,Adding descriptions of Ionic HTML tags
2016-3,2016-3,False,,2016-3,"Remove highlighting of ""variable declaration"" in rust highlighter"
2016-3,2016-3,False,,2016-3,add the `extensions` folder to gitignore to prevent accidental commits
2016-3,2016-3,False,,2016-3,[WIP] add a visual divider between gutter (glyph area) and code area
2016-3,2016-3,False,,2016-3,use os-specific EOL while creating the copyrightHeader for hygiene checks
2016-3,2016-3,False,,2016-3,use os-specific EOL while creating the copyrightHeader for hygiene checks
2016-3,2016-3,True,2016-3,2016-3,fix activate extension telemetry event to include
2016-3,2016-3,True,2016-3,2016-3,Extension status bar improvements & polish
2016-3,2016-3,True,2016-3,2016-3,Fixes #3650: Support stop-all-threads mode debugging for multi-thread…
2016-3,2016-3,True,2016-3,2016-3,adding telemetry to json extension
2016-3,2016-3,False,,2016-3,"[themes] Add styles to git commit changed, deleted, inserted"
2016-3,2016-3,False,,2016-3,fixes copyright compare on win when in crlf mode
2016-3,2016-3,True,2016-3,2016-3,"Fix markdown highlighting with ""C#"""
2016-3,2016-3,True,2016-3,2016-3,tweak some complex commands args description
2016-3,2016-3,True,2016-3,2016-3,Languages: Add `yield` keyword in PHP
2016-3,2016-3,True,2016-3,2016-3,Languages: Add `.php4` and `.php5` as extensions
2016-3,2016-3,False,,2016-3,#2500 and #2352 add focus indication to text editors / panels.
2016-3,2016-3,False,,2016-3,"simplify task template creation, fixes #4196"
2016-4,2016-3,True,2016-4,2016-3,[ruby] Update ruby grammar
2016-3,2016-3,True,2016-3,2016-3,#3769 fixes the light theme focus on buttons in message bar and viewlet
2016-4,2016-3,True,2016-4,2016-3,[c#] Add support for new C# 6 keywords
2016-4,2016-3,True,2016-4,2016-3,[vb] Make NameOf a keyword for Visual Basic
2016-3,2016-3,True,2016-3,2016-3,update to 4.x node.d.ts
2016-4,2016-3,True,2016-4,2016-3,add emmet support for .ejs files
2016-3,2016-3,True,2016-3,2016-3,Add support for a bunch of zsh configuration files
2016-3,2016-3,False,,2016-3,Bugfix: Prevent overwrite of modeAtPosition
2016-3,2016-3,True,2016-3,2016-3,checks models when file events happen
2016-3,2016-3,False,,2016-3,Try to unify import statements
2016-3,2016-3,True,2016-3,2016-3,TypeError: Cannot read property 'verboseLogging' of undefined (fixes …
2016-3,2016-3,True,2016-3,2016-3,Update jsconfig
2016-3,2016-3,True,2016-3,2016-3,Fixes #4558: process.env['VSCODE_NLS_CONFIG'] set in main.js will not reach renderer under Linux
2016-3,2016-3,True,2016-3,2016-3,Fixes Read VSCODE_NLS_CONFIG form userEnv as realy as possible
2016-4,2016-3,True,2016-4,2016-3,adding telemetry to extension widget
2016-3,2016-3,False,,2016-3,Fixed wrong values in german translation
2016-3,2016-3,True,2016-3,2016-3,"Fixes --locale switch incorrect for Simplified Chinese, should be zh-cn not zh-ch"
2016-3,2016-3,True,2016-3,2016-3,target as the only compiler option
2016-3,2016-3,False,,2016-3,Fixes Help > View License not redirecting properly
2016-3,2016-3,True,2016-3,2016-3,Cannot read property 'dispose' of undefined (fixes #4573)
2016-3,2016-3,True,2016-3,2016-3,slim TS/JS workers
2016-4,2016-3,True,2016-4,2016-3,Make mouse cursor visible in dark themes. Fixes #754
2016-4,2016-3,True,2016-4,2016-3,Sash double clicks
2016-4,2016-3,False,,2016-3,Added an image dimensions label underneath the image preview (fixes #3414)
2016-3,2016-3,False,,2016-3,New untitiled file not saved on exit #4739
2016-3,2016-3,True,2016-3,2016-3,New untitiled file not saved on exit (fixes #4739)
2016-3,2016-3,True,2016-3,2016-3,Perf optimizations
2016-5,2016-3,False,,2016-3,Global envvars overwrites process.env only when there's no terminal attached.
2016-3,2016-3,True,2016-3,2016-3,[vb] add .bas extension for VBA source code
2016-4,2016-3,True,2016-4,2016-3,"Add CJK-aware line wrapping, and basic Kinsoku Shori (禁則処理) to Visual Studio Code"
2016-3,2016-3,True,2016-3,2016-3,Minor tool-tip correction
2016-4,2016-4,True,2016-4,2016-4,Use gallery service directly from Code
2016-4,2016-4,True,2016-4,2016-4,better suggestion filtering
2016-4,2016-4,False,,2016-4,Provide an option to stop scrolling revealing active file in explorer (fixes #3062)
2016-4,2016-4,False,,2016-4,#78 gitignored files not displayed on explorer view by default
2016-4,2016-4,True,2016-4,2016-4,Provide API to open a new folder (fixes #58)
2016-4,2016-4,True,2016-4,2016-4,"Add ""new window"" action to code.desktop"
2016-4,2016-4,False,,2016-4,"correct german translation for ""warning"" message label"
2016-4,2016-4,False,,2016-4,Improve block cursor's visibility.
2016-4,2016-4,True,2016-4,2016-4,Joh/webview
2016-4,2016-4,True,2016-4,2016-4,"fix missing semi colon, and remove double task terminateProcess"
2016-4,2016-4,True,2016-4,2016-4,Linux update notifications
2016-6,2016-4,True,2016-6,2016-4,Extension management in editor part
2016-4,2016-4,True,2016-4,2016-4,Fixed wrong reference in config description
2016-4,2016-4,True,2016-4,2016-4,"enrich DiagnosticsCollection, pass on the actual Diagnostic-objects"
2016-4,2016-4,True,2016-4,2016-4,Implement open recently closed file(s) action
2016-4,2016-4,True,2016-4,2016-4,Introduce a Go problem matcher
2016-4,2016-4,True,2016-4,2016-4,#4746: adjusted the send a tweet's maximum character limit to accomodate hashtags and via @code.
2016-4,2016-4,False,,2016-4,[Coffeescript] Fix coffeescript parse bug
2016-7,2016-4,False,,2016-4,Promote snippets over other suggestions
2016-4,2016-4,True,2016-4,2016-4,Update Dockerfile highlighting to support 'ARG'
2016-4,2016-4,True,2016-4,2016-4,Remove the space between the semicolon
2016-4,2016-4,True,2016-4,2016-4,Fixes #821
2016-4,2016-4,True,2016-4,2016-4,optimize postinstall
2016-4,2016-4,True,2016-4,2016-4,Supported .ru extension and Guardfile
2016-4,2016-4,True,2016-4,2016-4,fixes #5206
2016-4,2016-4,True,2016-4,2016-4,Fix C# in markdown header
